Original Text,Translated Text,Character Count
Fitur Utama,主要功能,11
Biaya dan Limit,费用和限额,15
Limit,限制,5
"*) Sesuai dengan limit yang diajukan nasabah pada Formulir
    myBCA Bisnis.","*) 根据客户在 myBCA 商业表格中提出的限额。
    myBCA 商业表格。",76
Waktu Transaksi,交易时间,15
Biaya,费用,5
Biaya,费用,5
*),*),2
Perubahan terakhir pada: 29 Juli 2024,最后修订日期2024 年 7 月 29 日,37
Keterangan:,说明,11
"*) Biaya yang tertera merupakan biaya standar yang dapat berubah
sewaktu-waktu, yang besarnya akan diberitahukan oleh BCA dalam
bentuk dan melalui sarana apapun sesuai ketentuan yang berlaku.
Untuk pengajuan biaya khusus dapat diberikan sesuai dengan analisa
dan persetujuan dari Unit Bisnis BCA.","*) 所列费用为标准费用，可能随时更改。
BCA 将根据适用的法规，以任何形式和方式通知您费用的金额。
的形式和方式通知。
对于提交的特殊费用，可根据 BCA 业务部门的分析和批准情况给予规定。
并经 BCA 业务部门批准。",296
"**) Biaya Transfer Bank Lain Dalam Negeri dapat ditentukan untuk
dibebankan kepada pengirim atau penerima dana, sedangkan biaya
Payroll akan menjadi beban pengirim dana.","**) 其他国内银行转账费用可能会向汇款人或收款人收取。
其他国内银行转账费用可决定向资金发送方或接收方收取，而
工资费用将由资金发送方承担。",169
Frequently Asked Questions,常见问题,26
Apakah syarat untuk menjadi Nasabah myBCA Bisnis?,成为 myBCA 商业客户有哪些要求？,49
myBCA Bisnis ditujukan bagi :,myBCA Business 的目标群体是.....：,29
Nasabah memiliki Rekening BCA sesuai dengan jenis berikut ini :,客户拥有以下类型的 BCA 账户：,63
*) Dengan persetujuan lebih lanjut,*) 经进一步批准,34
Siapa saja yang bisa mengakses myBCA Bisnis?,谁可以访问 myBCA Business？,44
"Apakah nasabah KlikBCA Bisnis (KBB) atau KlikBCA Bisnis- Integrated
        Solutions (KBB-IS) dapat mengakses myBCA Bisnis?","KlikBCA Bisnis (KBB) 或 KlikBCA Bisnis- Integrated Solutions (KBB-IS) 客戶可以存取 myBCA Bisnis 嗎？
        解決方案 (KBB-IS) 客戶可以存取 myBCA Bisnis 嗎？",124
Data apa saja yang diperlukan untuk akses myBCA Bisnis?,访问 myBCA Business 需要哪些数据？,55
Apa saja jenis rekening yang dapat digunakan di myBCA Bisnis?,哪些类型的账户可用于 myBCA Business？,61
Berikut adalah rekening yang dapat diakses pada myBCA Bisnis:,以下是可在 myBCA Business 上访问的账户：,61
Ada tipe user operasional apa saja di myBCA Bisnis?,myBCA Business 有哪些类型的操作用户？,51
Apa perbedaan user sysadmin dan user operasional?,系统管理员用户和操作用户有什么区别？,49
Apa saja fitur yang dapat digunakan oleh user sysadmin?,系统管理员用户可以使用哪些功能？,55
Bagaimana jika saya ingin membuat user sysadmin?,如果我想创建一个系统管理员用户怎么办？,48
Bagaimana cara membuka pemblokiran pada User ID di luar Sysadmin?,如何解除对 Sysadmin 以外用户 ID 的封锁？,65
Mengapa User ID saya terblokir?,为什么我的用户 ID 被阻止？,31
Terjadi kesalahan dalam memasukkan KeyBCA,输入 KeyBCA 时发生错误,41
Response,回应,8
"sebanyak 3
        (tiga) kali berturut-turut saat melakukan transaksi dengan menggunakan
        KeyBCA sehingga User ID akan diblokir.","在使用
        (在使用
        用户 ID 将被阻止。",136
Apa perbedaan Standard Workflow dan Advanced Workflow?,标准工作流程和高级工作流程的区别是什么？,54
"Standard Workflow disarankan bagi nasabah yang hanya membutuhkan 1
        (satu) orang/user untuk otorisasi transaksi. Advanced Workflow
        disarankan bagi bagi nasabah yang membutuhkan otorisasi transaksi
        berjenjang atau lebih dari 1 (satu) orang/user. Pengaturan Workflow
        dapat dilakukan pada saat tahap registrasi.","对于只需要 1 个人/用户授权交易的客户，建议使用标准工作流程。
        (一个）人/用户进行交易授权。高级工作流程
        推荐给需要分层授权或超过 1（一）人/用户进行交易授权的客户。
        或 1（一个）人/用户以上。工作流程设置
        工作流程设置可在注册阶段进行。",339
Apa saja pengaturan workflow yang dapat dilakukan oleh user Sysadmin?,系统管理员用户可以进行哪些工作流程设置？,69
Pengaturan Level Releaser,企鹅等级释放器,25
Nasabah dapat menentukan Level dari masing-masing Releaser.,客户可以确定每个释放器的级别。,59
Pengaturan Workflow Releaser,工作流程释放器,28
"Nasabah dapat melakukan pengaturan Workflow pada setiap
                  transaksi baik Finansial maupun Non Finansial untuk mengatur
                  user Releaser yang akan melakukan persetujuan.","客户可以对每项
                  客户可以对每笔交易（包括财务交易和非财务交易）进行工作流程设置，以管理负责审批的
                  进行审批的用户发布人。",199
Pengaturan Approver Cashier,出纳员,27
"Nasabah dapat melakukan pengaturan jumlah user Approver dan
                  Cashier untuk setiap transaksi Finansial, dan mengatur jumlah
                  Approver untuk setiap transaksi Non Finansial.","客户可为每笔财务交易设置审批人和出纳用户数量，并为每笔财务交易设置审批人和出纳用户数量。
                  为每笔财务交易设置出纳员，并为每笔非财务交易设置审批员人数。
                  每笔非财务交易的审批人。",204
KETENTUAN MYBCA BISNIS,Mybca 商业条款,22
PT BANK CENTRAL ASIA Tbk (BCA),PT BANK CENTRAL ASIA Tbk (BCA),30
A. Registrasi myBCA Bisnis,A. 注册人 myBCA Bisnis,26
B. Fasilitas myBCA Bisnis,B.myBCA 商务设施,25
C. Pemegang User ID Lainnya,C.其他用户 ID 持有者,27
D. Pendaftaran Rekening BCA,D.BCA 账户注册,27
E. Limit,E.限额,8
F. Antivirus,F.杀毒软件,12
"Untuk meningkatkan keamanan transaksi Nasabah, Nasabah wajib melakukan instalasi",为提高客户交易的安全性，客户必须安装,80
software,软件,8
antivirus pada terminal yang digunakan untuk mengakses myBCA Bisnis maupun sarana transaksi lain yang dapat diakses dengan menggunakan,在用于访问 myBCA Business 和其他可通过以下方式访问的交易设施的终端上安装杀毒软件,134
User ID,用户 ID,7
myBCA Bisnis dan memastikan bahwa antivirus yang digunakan adalah versi terkini (,myBCA Business 并确保所使用的杀毒软件是最新版本 (,81
updated,最新的,7
). Segala akibat yang timbul sehubungan dengan kelalaian Nasabah dalam menggunakan antivirus dengan versi terkini merupakan tanggung jawab Nasabah sepenuhnya.,).由于客户疏忽而未使用最新版本的杀毒软件所造成的任何后果均由客户自行承担。,158
G. Login/Akses ke myBCA Bisnis,G.登录/访问 myBCA Business,30
Nasabah atau pemegang,客户或持有人,21
User ID,用户 ID,7
harus memasukkan,必须包括,16
"Corporate ID, User ID,",公司 ID、用户 ID、,22
dan PIN dinamis yang dihasilkan oleh KeyBCA (KeyBCA Response) untuk dapat mengakses myBCA Bisnis dan sarana transaksi lain yang dapat diakses dengan menggunakan,和由 KeyBCA 生成的动态 PIN 码（KeyBCA 响应），以便能够访问 myBCA Business 和其他可通过以下方式访问的交易设施,160
User ID,用户 ID,7
myBCA Bisnis.,myBCA 业务。,13
"H. Corporate ID, User ID, KeyBCA, dan PIN KeyBCA",H.公司 ID、用户 ID、KeyBCA、dan PIN KeyBCA,48
I. KeyBCA,I.关键BCA,9
"J. Pemblokiran KeyBCA, User ID, dan Corporate ID",J. KeyBCA、用户 ID 和公司 ID 封锁,48
K. Transaksi pada myBCA Bisnis,K.myBCA 业务上的交易,30
L. Layanan pada Fasilitas myBCA Bisnis,L.myBCA 商务设施上的服务,38
M. Pembuktian,M.证据,13
N. Electronic Mail (Email),N.电子邮件（Email）,26
O. Biaya dan Kuasa Debet Rekening,O.费用和账户转账授权,33
"P. Administrasi pendaftaran, perubahan dan penghapusan",P.登记、修改和删除的管理,54
Q. Force Majeure,Q.不可抗力,16
R. Penghentian Sementara dan Pengakhiran Layanan/Fasilitas,R.暂时中止和终止服务/设施,58
S. Penyelesaian Perselisihan,S.争议解决,28
T. Lain-lain,T.其他,12
"Nasabah dengan ini menyatakan telah membaca, memahami sepenuhnya, dan
  menyetujui Ketentuan myBCA Bisnis BCA ini dan BCA telah memberikan penjelasan
  dan meminta konfirmasi kepada Nasabah atas penjelasan tentang manfaat, biaya,
  risiko, serta hak dan kewajiban terkait dengan myBCA Bisnis.","客户特此声明已阅读、完全理解并同意本BCA Business myBCA条款。
  同意 BCA Business myBCA 条款，并且 BCA 已向客户解释并要求客户确认
  并要求客户确认，以解释与 myBCA Bisnis 有关的利益、成本、风险以及权利和义务、
  风险以及与 myBCA Bisnis 相关的权利和义务。",292
KETENTUAN MYBCA BISNIS BCA INI,我的 BCA 业务条款,30
TELAH DISESUAIKAN DENGAN KETENTUAN PERATURAN PERUNDANG-UNDANGAN,已根据法律法规的规定进行了调整,63
"TERMASUK
    KETENTUAN PERATURAN OTORITAS JASA KEUANGAN","包括
    金融服務管理局規例的條文",55
Perlu Diketahui,需要了解的信息,15
Risiko,风险,6
Persyaratan dan Tata Cara,要求和程序,25
"Nasabah pemilik myBCA Bisnis dapat menyampaikan pertanyaan dan
pengaduan melalui:","拥有 myBCA Business 的客户可通过以下方式提交查询和投诉
投诉：",81
Hubungi Kami,联系我们,12
Halo BCA Bisnis : 1500998,Halo BCA Bisnis : 1500998,25
Email :,电子邮件 ：,7
halobca@bca.co.id,halobca@bca.co.id,17
WhatsApp : +628111500998,WhatsApp : +628111500998,24
Website :,网站 ：,9
https://www.bca.co.id/,https://www.bca.co.id/,22
Media Sosial,社交媒体,12
Facebook : GoodLife BCA,Facebook : GoodLife BCA,23
Instagram : @goodlifebca,Instagram ：@goodlifebca,24
Youtube : Solusi BCA,YouTube ：BCA 解决方案,20
X (Twitter) : @BankBCA,X (Twitter) ：@BankBCA,22
Informasi Tambahan,其他信息,18
Disclaimer,免责声明,10
(penting untuk dibaca),(重要阅读）,22
Dapatkan Layanan,获取服务,16
Nasabah dapat mengakses myBCA Bisnis setelah melakukan registrasi dengan cara:,客户注册后可通过以下方式访问 myBCA Business：,78
"Setelah pengajuan myBCA Bisnis, nasabah akan mendapatkan",提交 myBCA Business 后，客户将获得,56
Informasi Keamanan Transaksi,交易安全信息,28
Kantor Pusat,总部,12
"Menara BCA, Grand Indonesia",印尼大岛 BCA 大厦,27
Jl. MH Thamrin No. 1,Jl. MH Thamrin No.,20
Jakarta 10310,雅加达 10310,13
Hubungi Kami,联系我们,12
Media Sosial,社交媒体,12
Dapatkan promo dan penawaran terbaik dari BCA,从 BCA 获取最佳促销和优惠信息,45
This site is protected by reCAPTCHA and the Google,本网站受 reCAPTCHA 和 Google,50
Privacy Policy,隐私政策,14
and,和,3
Terms of Service,服务条款,16
apply.,申请。,6
BCA berizin dan diawasi oleh Otoritas Jasa Keuangan & Bank Indonesia,BCA 由金融服务管理局和印度尼西亚银行授权和监管。,68
BCA merupakan peserta penjaminan LPS,BCA 是 LPS 担保的参与者,36
Anda akan meninggalkan BCA.co.id,您即将离开 BCA.co.id,32
"Dengan mengklik ‘Lanjutkan’, Anda akan diarahkan menuju website
	di luar www.bca.co.id yang tidak terafiliasi dengam BCA dan mungkin
	memiliki tingkat sekuriti yang berbeda. BCA tidak bertanggung jawab
	dan tidak mendukung, menjamin, mengendalikan konten, mengendalikan
	ketersediaan dan perspektif atas produk-produk atau layanan-layanan
	yang ditawarkan atau dinyatakan oleh website tersebut.","点击 ""继续""，您将被引导至  以外的网站。
	www.bca.co.id 以外的网站，该网站与 BCA 无关，可能具有不同的安全级别。
	该网站的安全级别可能不同。巴塞尔公约》不负责
	并不认可、保证、控制其内容，也不控制其产品或服务的
	产品或服务的可用性和观点
	这些网站提供或声明的产品或服务的可用性和观点。",394
myBCA Bisnis,myBCA 业务,12
"myBCA Bisnis, Solusi Finansial Bisnis Anda",myBCA Business，您的企业财务解决方案,42
Solusi aman dan terpercaya untuk kebutuhan bisnis Anda,安全可靠的解决方案满足您的业务需求,54
Manajemen Kas,现金管理,13
Fleksibel,灵活,9
Solusi Terpadu,综合解决方案,14
myBCA Bisnis,myBCA 业务,12
"Dengan mengakses situs ini, Anda telah menyetujui penggunaan",访问本网站即表示您同意使用,60
cookies,饼干,7
dari kami.,从我们这里。,10
"Website ini terbaik dilihat dengan browser Internet Explore 11, Google Chrome 48, Mozilla Firefox 43, atau yang terbaru.",浏览本网站最好使用 Internet Explore 11、Google Chrome 48、Mozilla Firefox 43 或更高版本的浏览器。,120
Individu,个人,8
Bisnis,商业,6
Tentang BCA,关于 BCA,11
Karir,卡里尔,5
id,本我,2
en,EN,2
PALING BANYAK DICARI,搜索次数最多,20
Promo HUT BCA 67,Promo HUT BCA 67,16
myBCA,我的BCA,5
Paylater BCA,Paylater BCA,12
Awas Modus,阿瓦斯模式,10
BCA Mobile,BCA 移动电话,10
PENCARIAN,搜索,9
"$(document).on('submit', ""#search-header-form"", function (e) {
			let query = document.getElementById(""search-header-input"").value
			 	dataLayer.push({
					event: ""site_search"",
					search_query: query,
					page_url: window.location.href,
      			});
		})","$(document).on('submit', ""#search-header-form"", function (e) {
			let query = document.getElementById(""search-header-input"").value
			 	dataLayer.push({
					事件""site_search""、
					search_query: 查询、
					page_url: window.location.href、
      			});
		})",267
Individu,个人,8
Bisnis,商业,6
Tentang BCA,关于 BCA,11
Karir,卡里尔,5
id,本我,2
en,EN,2
Login,登录,5
Produk,产品,6
Layanan,服务,7
Solusi,解决方案,6
Kurs,课程,4
Chat,聊天,4
Mempermudah akses perbankan Anda,简化您的银行访问,32
Login via KlikBCA Individu,通过 ClickBCA 个人版登录,26
Solusi perbankan untuk Bisnis Anda,为您的企业提供银行解决方案,34
Login via KlikBCA Bisnis,通过 KlikBCA Business 登录,24
Perbankan #dibikinsimpel dengan BCA mobile,使用 BCA 手机办理 #dibikinsimpel 银行业务,42
Buka BCA mobile,打开 BCA 移动电话,15
Langkah awal untuk pengalaman perbankan yang baru,全新银行体验的第一步,49
myBCA,我的BCA,5
Produk Bisnis,商业产品,13
Simpanan Bisnis,商业储蓄,15
Penerimaan Bisnis,业务验收,17
Pinjaman Bisnis,商业贷款,15
Kartu Kredit Bisnis,商业信用卡,19
Investasi Bisnis untuk Pengusaha,企业家的商业投资,32
Layanan Bisnis,商业服务,14
e-Banking Bisnis,商业电子银行,16
Layanan Perbankan,银行服务,17
Tresuri dan Kustodian,财务处和保管人,21
Solusi Bisnis,业务解决方案,13
Cash Management,现金管理,15
API,应用程序接口,3
Business Debit Card,商业借记卡,19
Fire Cash BCA,消防现金 BCA,13
Program Promosi BCA,巴塞尔公约》推广计划,19
Kurs eRate BCA,课程 eRate BCA,14
Kurs Per,每门课程,8
18 November 2024 09.45,2024 年 11 月 18 日 09:45,22
WIB,WIB,3
USD,美元,3
Beli,贝利,4
"15.840,00","15.840,00",9
Jual,盧塞恩,4
"15.860,00","15.860,00",9
AUD,澳元,3
Beli,贝利,4
"10.253,88","10.253,88",9
Jual,盧塞恩,4
"10.263,29","10.263,29",9
SGD,新加坡元,3
Beli,贝利,4
"11.802,87","11.802,87",9
Jual,盧塞恩,4
"11.816,09","11.816,09",9
EUR,欧元,3
Beli,贝利,4
"16.699,63","16.699,63",9
Jual,盧塞恩,4
"16.712,70","16.712,70",9
Lihat Kurs Lainnya,查看其他费率,18
Kalkulator Kurs,计算器课程,15
"div#sb_F778B5E071314E8F98222C510B7DC2FA, div#sb_92E8BFAB8C174A91959A3949C578ACF0 {
 height: 100%; 
 padding:0;
}
#buzz {
height: 100%;
}
@media (max-width:728px){
div#sb_F778B5E071314E8F98222C510B7DC2FA, div#sb_92E8BFAB8C174A91959A3949C578ACF0 {
    height: calc(100% - 100px);
    padding-top:25px;
}

body.smartbar-is-open {
overflow: hidden;
height: 100%;
width: 100%;
position: fixed;
}","div#sb_F778B5E071314E8F98222C510B7DC2FA, div#sb_92E8BFAB8C174A91959A3949C578ACF0 {
 height: 100%；
 padding:0；
}
#buzz {
height: 100%；
}
@media (max-width:728px){
div#sb_F778B5E071314E8F98222C510B7DC2FA, div#sb_92E8BFAB8C174A91959A3949C578ACF0 {
    height: calc(100% - 100px)；
    padding-top:25px；
}

body.smartbar-is-open {
overflow: hidden；
height: 100%；
width: 100%；
position: fixed；
}",390
myBCA Bisnis,myBCA 业务,12
Nikmati Kemudahan Bertransaksi dengan myBCA Bisnis,享受 myBCA Business 带来的轻松交易体验,50
Pelajari,了解更多,8
Login,登录,5
"myBCA Bisnis, Solusi Finansial Bisnis Anda",myBCA Business，您的企业财务解决方案,42
"Nikmati myBCA Bisnis dan berbagai fitur di dalamnya untuk membuat
          kebutuhan dan operasional bisnis lebih lancar dan praktis.","享受 myBCA Business 及其中的各种功能，使您的
          的各种功能，使您的业务需求和运营更加顺畅和实用。",134
Pelajari Sekarang!,立即学习！,18
Solusi aman dan terpercaya untuk kebutuhan bisnis Anda,安全可靠的解决方案满足您的业务需求,54
Manajemen Kas,现金管理,13
"Pantau aktivitas, otorisasi transaksi, dan cek status transaksi bisnis dalam satu layar",在一个屏幕上监控活动、授权交易和检查业务交易状态,87
Fleksibel,灵活,9
Nikmati pengalaman transaksi bisnis pada berbagai perangkat kapan saja,随时在多种设备上享受业务交易体验,70
Solusi Terpadu,综合解决方案,14
Berbagai kemudahan dan solusi untuk transaksi bisnis dalam satu tempat,一站式商务交易的各种便利和解决方案,70
myBCA Bisnis,myBCA 业务,12
Kenali Produk,了解产品,13
"$('.sidebartack-cc_3B90FED3401B4F00AAB1D1291AE5571B').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({ 
									'event':'sidebartracking',
									'sidebar_name':'myBCA Bisnis',
									'sidebar_category':'Kenali Produk',
									'sidebar_sub_category':'N/A'
									
									});

							
							});","$('.sidebartack-cc_3B90FED3401B4F00AAB1D1291AE5571B').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({
									'event':'sidebartracking'、
									'sidebar_name':'myBCA Bisnis'、
									侧边栏类别':'Kenali Produk'、
									侧边栏子类别':'不适用
									
									});

							
							});",350
Biaya dan Limit,费用和限额,15
"$('.sidebartack-cc_8FCB0DE2215B4B6999DBAE2F30169358').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({ 
									'event':'sidebartracking',
									'sidebar_name':'myBCA Bisnis',
									'sidebar_category':'Biaya dan Limit',
									'sidebar_sub_category':'N/A'
									
									});

							
							});","$('.sidebartack-cc_8FCB0DE2215B4B6999DBAE2F30169358').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({
									'event':'sidebartracking'、
									'sidebar_name':'myBCA Bisnis'、
									'sidebar_category':'Biaya dan Limit'、
									侧边栏子类别':'不适用
									
									});

							
							});",352
FAQ,常见问题,3
"$('.sidebartack-cc_EA62643B7EAE4DC187EDDCA254D5C7ED').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({ 
									'event':'sidebartracking',
									'sidebar_name':'myBCA Bisnis',
									'sidebar_category':'FAQ',
									'sidebar_sub_category':'N/A'
									
									});

							
							});","$('.sidebartack-cc_EA62643B7EAE4DC187EDDCA254D5C7ED').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({
									'event':'sidebartracking'、
									'sidebar_name':'myBCA Bisnis'、
									侧边栏类别':'常见问题'、
									侧边栏子类别':'不适用
									
									});

							
							});",340
Syarat dan Ketentuan,条款和条件,20
"$('.sidebartack-cc_A82A57F27DCB4FEF858FFAC607E02210').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({ 
									'event':'sidebartracking',
									'sidebar_name':'myBCA Bisnis',
									'sidebar_category':'Syarat dan Ketentuan',
									'sidebar_sub_category':'N/A'
									
									});

							
							});","$('.sidebartack-cc_A82A57F27DCB4FEF858FFAC607E02210').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({
									'event':'sidebartracking'、
									'sidebar_name':'myBCA Bisnis'、
									侧边栏类别':'Syarat dan Ketentuan'、
									侧边栏子分类':'不适用
									
									});

							
							});",357
Perlu Diketahui,需要了解的信息,15
"$('.sidebartack-cc_BCD688836B9B461DACA916D99EB8E0E5').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({ 
									'event':'sidebartracking',
									'sidebar_name':'myBCA Bisnis',
									'sidebar_category':'Perlu Diketahui',
									'sidebar_sub_category':'N/A'
									
									});

							
							});","$('.sidebartack-cc_BCD688836B9B461DACA916D99EB8E0E5').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({
									'event':'sidebartracking'、
									'sidebar_name':'myBCA Bisnis'、
									'sidebar_category':'Perlu Diketahui'、
									侧边栏子类别':'不适用
									
									});

							
							});",352
Dapatkan Layanan,获取服务,16
"$('.sidebartack-cc_C16894AE9B14483D8AA7426DFBA5E5A6').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({ 
									'event':'sidebartracking',
									'sidebar_name':'myBCA Bisnis',
									'sidebar_category':'Dapatkan Layanan',
									'sidebar_sub_category':'N/A'
									
									});

							
							});","$('.sidebartack-cc_C16894AE9B14483D8AA7426DFBA5E5A6').click(function() {
							//console.log (""click sidebar"")
								dataLayer.push({
									'event':'sidebartracking'、
									'sidebar_name':'myBCA Bisnis'、
									'sidebar_category':'Dapatkan Layanan'、
									侧边栏子分类':'不适用
									
									});

							
							});",353
Kenali Produk,了解产品,13
myBCA Bisnis merupakan layanan,myBCA Business 是一项服务,30
internet banking,网上银行,16
"yang dapat
digunakan pada berbagai perangkat untuk melakukan transaksi, otorisasi, cek status, dan berbagai kebutuhan manajemen kas lainnya.","可
该系统可用于各种设备，以执行交易、授权、状态检查和其他各种现金管理需求。",140
Manfaat myBCA Bisnis,myBCA Business 的优势,20
Lakukan transaksi perbankan finansial dan non-finansial mudah melalui myBCA Bisnis,通过 myBCA Business 轻松进行金融和非金融银行交易,82
Transaksi nyaman di myBCA Bisnis dengan berbagai perangkat seperti,在 myBCA Business 上使用各种设备方便地进行交易，例如,66
mobile,手机,6
dan,丹,3
desktop,桌面,7
Tersedia berbagai fitur di myBCA Bisnis yang dirancang untuk memenuhi setiap kebutuhan bisnis Anda,myBCA Business 具有多种功能，可满足您的各种业务需求,98
Nasabah yang memiliki fasilitas H2H myBCA Bisnis dapat melakukan transaksi perbankan secara,拥有 myBCA Business H2H 设施的客户可以有条不紊地进行银行交易。,91
online,在线,6
dan,丹,3
realtime,实时,8
dengan lebih efisien dan efektif dari sistem internal Nasabah,从客户的内部系统中获得更高的效率和效益,61
Fitur Utama,主要功能,11
Ringkasan Status Transaksi,交易状态摘要,26
"Pantau aktivitas dan informasi status transaksi, serta lakukan otorisasi transaksi dalam satu layar",监控交易活动和状态信息，并在一个屏幕上授权交易,99
Informasi Rekening,账户信息,18
"Lihat informasi saldo, jenis rekening, nama cabang, serta informasi rekening lainnya",查看余额信息、账户类型、分行名称及其他账户信息,84
Mutasi Rekening,账户突变,15
"Lihat mutasi debit dan/atau kredit setiap rekening, unduh secara satuan maupun beberapa rekening sekaligus",查看每个账户的借记和/或贷记突变，一次下载单个或多个账户,106
e-Statement,电子声明,11
Unduh informasi mutasi rekening periode tertentu dalam bentuk,以下列表格的形式下载一定时期内的账户突变信息,61
softcopy,软拷贝,8
Kartu Kredit,卡尔图信贷,12
"Lihat dan unduh informasi, transaksi, dan tagihan kartu kredit yang telah didaftarkan pada myBCA Bisnis",查看和下载已在 myBCA Business 上注册的信用卡信息、交易和账单,103
Transfer Rekening BCA Sendiri,巴塞尔公约》自有账户转账,29
"Fitur untuk melakukan transaksi transfer dengan mata uang valas ke rekening BCA sendiri. Mata uang yang dapat di transaksikan yaitu IDR, USD, SGD, HKD, AUD, EUR, GBP, JPY, CNY",将外币转入 BCA 账户的功能。可交易的货币包括印尼盾、美元、新加坡元、港币、澳元、欧元、英镑、日元和人民币。,175
Transfer Rekening BCA Lainnya,其他 BCA 账户转账,29
Transfer ke sesama rekening BCA dalam mata uang Rupiah,以印尼盾转账至印尼中央银行同类账户,54
Transfer Bank Lain Dalam Negeri,国内其他银行转账,31
Lakukan transaksi dalam mata uang Rupiah dari rekening BCA ke rekening Bank lain di dalam negeri,从印尼中央银行账户向国内其他银行账户进行卢比交易,96
Transfer BCA Virtual Account,转移 BCA 虚拟账户,28
Lakukan transaksi BCA Virtual Account dalam mata uang Rupiah untuk tanggal efektif yang dapat ditentukan,在可确定的生效日期内，以印尼盾货币执行 BCA 虚拟账户交易,104
Daftar Rekening Tujuan,目的地账户列表,22
"Lakukan pendaftaran/perubahan/penghapusan/tentukan akses rekening tujuan secara satuan dan bulk untuk transfer ke rekening BCA, Bank Lain dalam Negeri, dan Virtual Account BCA",单独或批量注册/更改/删除/确定向巴塞尔银行账户、其他国内银行和巴塞尔银行虚拟账户转账的目标账户访问权限。,175
Payroll,工资单,7
Lakukan pembayaran gaji karyawan perusahaan secara kolektif ke rekening BCA ataupun rekening bank lain (LLG/RTGS),将公司员工的工资集体支付到 BCA 账户或其他银行账户（LLG/RTGS）。,113
Bayar & Isi Ulang,支付和充值,17
"Lakukan berbagai jenis pembayaran seperti Penerimaan Negara, Telepon, Handphone, dan PLN Pascabayar",进行各种类型的支付，如国家税收、电话、移动和后付费波兰兹罗提,99
Bulk Transfer,批量转运,13
"Lakukan transfer dana ke sesama BCA atau ke Bank Lain (LLG/RTGS) secara bulk
melalui metode","将资金批量转入同行 BCA 或其他银行（LLG/RTGS）
通过",91
file upload,文件上传,11
Bulk Payment,批量付款,12
"Lakukan berbagai jenis pembayaran yaitu Telkom, BPJS Kesehatan, Handphone,
Kartu Kredit & Paylater, Internet & TV Kabel, serta Air secara bulk melalui","通过批量支付进行各种类型的支付，包括 Telkom、BPJS Kesehatan、Mobile、
信用卡和 Paylater、互联网和有线电视以及水费。",150
file upload,文件上传,11
Informasi Fasilitas Kredit,信贷机制信息,26
Lakukan,动手吧,7
inquiry,研讯,7
